name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,IsData,generator,additionalSelection,isreHLT
ttHnonbb,/ttHToNonbb_M125_13TeV_powheg_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,3838288,1,0.2151,5.60406097719E-005,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,PowhegBoxV2,none,isreHLT
ttHnonbb,/ttHToNonbb_M125_13TeV_powheg_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,3860872,1,0.2151,5.57128027036E-005,,80X_mcRun2_asymptotic_v14,mc,PowhegBoxV2,none,isreHLT
,,,,,,,,,,,
Zjets_m10to50,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,30912410,0,22635.09,0,,80X_mcRun2_asymptotic_2016_v3,mc,amcatnlo,none,isreHLT
Zjets_m10to50,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,30915886,0.7292444657,22635.09,1.0039853751,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,amcatnlo,none,isreHLT
Zjets_m10to50,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,34926099,1,22635.09,0.6480852614,,80X_mcRun2_asymptotic_2016_v3,mc,Madgraph5_aMC@NLO,none,isreHLT
Zjets_m10to50,/DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,35079788,1,22635.09,0.6452459177,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,Madgraph5_aMC@NLO,none,isreHLT
,,,,,,,,,,,
st_tchan,/ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v3/MINIAODSIM,3279200,1,45.34,0.0138265431,,80X_mcRun2_asymptotic_2016_v3,mc,Powheg,none,isreHLT
st_tchan,/ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,3279200,1,45.34,0.0138265431,/ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/koschwei-BoostedMiniAODICHEPv1-b33028ddd301e05587dac614603b7978/USER,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,Powheg,none,isreHLT
,,,,,,,,,,,
